299,Australia,Hamilton Island Airport,Hamilton Island,HTI,YBHM
300,Australia,Hopetoun Airport,,HTU,YHPN
301,Australia,Hervey Bay Airport,Hervey Bay,HVB,YHBA
302,Australia,Hay Airport,,HXX,YHAY
303,Australia,Innisfail Airport,Innisfail,IFL,YIFL
304,Australia,Lockhart River Airport,Lockhart River,IRG,YLHR
305,Australia,Mount Isa Airport,Mount Isa,ISA,YBMA
306,Australia,Inverell Airport,Inverell,IVR,YIVL
307,Australia,Jabiru Airport,Jabiru,JAB,YJAB
308,Australia,Perth Jandakot Airport,Perth,JAD,YPJT
309,Australia,Julia Creek Airport,Julia Creek,JCK,YJLC
310,Australia,Shute Harbour Airport,Shute Harbour,JHQ,YSHR
311,Australia,Kalbarri Airport,Kalbarri,KAX,YKBR
312,Australia,Kings Creek Airport,Petermann,KCS,YKCS
313,Australia,Fortescue - Dave Forrest Aerodrome,Cloudbreak,KFE,YFDF
314,Australia,Kalkgurung Airport,Kalkgurung,KFG,YKKG
315,Australia,Kingscote Airport,Kingscote,KGC,YKSC
316,Australia,Kalgoorlie Boulder Airport,Kalgoorlie,KGI,YPKG
317,Australia,Kingaroy Airport,,KGY,YKRY
318,Australia,King Island Airport,King Island,KNS,YKII
319,Australia,Kununurra Airport,Kununurra,KNX,YPKU
320,Australia,Kempsey Airport,,KPS,YKMP
321,Australia,Kerang Airport,,KRA,YKER
322,Australia,Karumba Airport,Karumba,KRB,YKMB
323,Australia,Karratha Airport,Karratha,KTA,YPKA
324,Australia,Tindal Airport,Katherine,KTR,YPTN
325,Australia,Kubin Airport,Kubin,KUG,YKUB
326,Australia,Kowanyama Airport,Kowanyama,KWM,YKOW
327,Australia,Yalata Mission Airport,Yalata,KYI,YYTA
328,Australia,Lord Howe Island Airport,Lord Howe Island,LDH,YLHI
329,Australia,Learmonth Airport,Learmonth,LEA,YPLM
330,Australia,Lake Evella Airport,Lake Evella,LEL,YLEV
331,Australia,Leinster Airport,Leinster,LER,YLST
332,Australia,Leigh Creek Airport,Leigh Creek,LGH,YLEC
333,Australia,Lightning Ridge Airport,Lightning Ridge,LHG,YLRD
334,Australia,Leonora Airport,Leonora,LNO,YLEO
335,Australia,Longreach Airport,Longreach,LRE,YLRE
336,Australia,Launceston Airport,Launceston,LST,YMLT
337,Australia,Lismore Airport,Lismore,LSY,YLIS
338,Australia,Laverton Airport,Laverton,LVO,YLTN
339,Australia,Lizard Island Airport,Lizard Island,LZR,YLZI
340,Australia,Maryborough Airport,Maryborough,MBH,YMYB
341,Australia,Melbourne Moorabbin Airport,Melbourne,MBW,YMMB
342,Australia,McArthur River Mine Airport,McArthur River Mine,MCV,YMHU
343,Australia,Sunshine Coast Airport,Maroochydore,MCY,YBMC
344,Australia,Melbourne Essendon Airport,Melbourne,MEB,YMEN
