name, codename, country, iata, icao, type
Lopez Island Airport,Lopez,United States,LPS,S31,airport
Waikoloa Heliport,Waikoloa Village,United States,WKL,HI07,airport
Worcester Regional Airport,Worcester,United States,ORH,KORH,airport
Bremerton National Airport,Bremerton,United States,PWT,KPWT,airport
Spencer Municipal Airport,Spencer,United States,SPW,KSPW,airport
Jefferson City Memorial Airport,Jefferson City,United States,JEF,KJEF,airport
Provincetown Municipal Airport,Provincetown,United States,PVC,KPVC,airport
Fullerton Municipal Airport,Fullerton,United States,FUL,KFUL,airport
Concord-Padgett Regional Airport,Concord,United States,USA,KJQF,airport
Friedman Memorial Airport,Hailey,United States,SUN,KSUN,airport
Mason City Municipal Airport,Mason City,United States,MCW,KMCW,airport
Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA,KIWA,airport
Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,PAKP,airport
Anvik Airport,Anvik,United States,ANV,PANV,airport
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK,PATQ,airport
Gambell Airport,Gambell,United States,GAM,PAGM,airport
Hooper Bay Airport,Hooper Bay,United States,HPB,PAHP,airport
Kaltag Airport,Kaltag,United States,KAL,PAKV,airport
St Mary's Airport,St Mary's,United States,KSM,PASM,airport
Kivalina Airport,Kivalina,United States,KVL,PAVL,airport
Mekoryuk Airport,Mekoryuk,United States,MYU,PAMY,airport
Ruby Airport,Ruby,United States,RBY,PARY,airport
Shishmaref Airport,Shishmaref,United States,SHH,PASH,airport
Savoonga Airport,Savoonga,United States,SVA,PASA,airport
Noatak Airport,Noatak,United States,WTK,PAWN,airport
Arctic Village Airport,Arctic Village,United States,ARC,PARC,airport
Port Clarence Coast Guard Station,Port Clarence,United States,KPC,PAPC,airport
Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR,KHGR,airport
Sand Point Airport,Sand Point,United States,SDP,PASD,airport
Deering Airport,Deering,United States,DRG,PADE,airport
Igiugig Airport,Igiugig,United States,IGG,PAIG,airport
New Stuyahok Airport,New Stuyahok,United States,KNW,PANW,airport
King Cove Airport,King Cove,United States,KVC,PAVC,airport
Port Heiden Airport,Port Heiden,United States,PTH,PAPH,airport
Togiak Airport,Togiak Village,United States,TOG,PATG,airport
Delta County Airport,Escanaba,United States,ESC,KESC,airport
Yakutat Airport,Yakutat,United States,YAK,PAYA,airport
Williamson County Regional Airport,Marion,United States,MWA,KMWA,airport
Ford Airport,Iron Mountain,United States,IMT,KIMT,airport
Allakaket Airport,Allakaket,United States,AET,PFAL,airport
Michigan City Municipal Airport,Michigan City,United States,MGC,KMGC,airport
Seward Airport,Seward,United States,SWD,PAWD,airport
Grand Marais Cook County Airport,Grand Marais,United States,GRM,KCKC,airport
Wausau Downtown Airport,Wausau,United States,AUW,KAUW,airport
Delaware County Johnson Field,Muncie,United States,MIE,KMIE,airport
Purdue University Airport,Lafayette,United States,LAF,KLAF,airport
North Las Vegas Airport,Las Vegas,United States,VGT,KVGT,airport
Kenosha Regional Airport,Kenosha,United States,ENW,KENW,airport
Montrose Regional Airport,Montrose CO,United States,MTJ,KMTJ,airport
Riverton Regional Airport,Riverton WY,United States,RIW,KRIW,airport
Eastern Oregon Regional At Pendleton Airport,Pendleton,United States,PDT,KPDT,airport
Wittman Regional Airport,Oshkosh,United States,OSH,KOSH,airport
Pangborn Memorial Airport,Wenatchee,United States,EAT,KEAT,airport
NAS Fort Worth JRB/Carswell Field,Dallas,United States,FWH,KNFW,airport
Gary Chicago International Airport,Gary,United States,GYY,KGYY,airport
Brainerd Lakes Regional Airport,Brainerd,United States,BRD,KBRD,airport
Greenbrier Valley Airport,Lewisburg,United States,LWB,KLWB,airport
Pitt Greenville Airport,Greenville,United States,PGV,KPGV,airport
Chefornak Airport,Chefornak,United States,CYF,PACK,airport
Oxnard Airport,Oxnard,United States,OXR,KOXR,airport
Branson Airport,Branson,United States,BKG,KBBG,airport
Schenectady County Airport,Scotia NY,United States,SCH,KSCH,airport
Northeast Florida Regional Airport,St. Augustine Airport,United States,UST,KSGJ,airport
Charles M. Schulz Sonoma County Airport,Santa Rosa,United States,STS,KSTS,airport
Kissimmee Gateway Airport,Kissimmee,United States,ISM,KISM,airport
Lake City Gateway Airport,Lake City,United States,LCQ,KLCQ,airport
Logan-Cache Airport,Logan,United States,LGU,KLGU,airport
Brigham City Regional Airport,Brigham City,United States,BMC,KBMC,airport
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE,KASE,airport
